Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,Meta Critic,Meta User
District 9,Nominee,2009,79,90,82,81,81
An Education,Nominee,2009,73,94,80,85,78
Inglourious Basterds,Nominee,2009,83,89,88,69,78
Precious: Based on the Novel 'Push' by Sapphire,Nominee,2009,73,92,81,79,80
A Serious Man,Nominee,2009,71,90,68,79,68
Up,Nominee,2009,82,98,90,88,88
Up in the Air,Nominee,2009,74,91,79,83,74
The King's Speech,Winner,2010,80,94,92,88,83
127 Hours,Nominee,2010,75,93,85,82,81
Black Swan,Nominee,2010,80,85,84,79,81
The Fighter,Nominee,2010,78,90,89,79,81
Inception,Nominee,2010,88,87,91,74,88
The Kids Are All Right,Nominee,2010,70,92,74,86,72
The Social Network,Nominee,2010,77,96,86,95,82
Toy Story 3,Nominee,2010,82,98,89,92,89
True Grit,Nominee,2010,76,96,85,80,78
Winter's Bone,Nominee,2010,72,94,76,90,73
The Artist,Winner,2011,79,95,87,89,82
The Descendants,Nominee,2011,73,88,79,84,77
Extremely Loud & Incredibly Close,Nominee,2011,69,45,61,46,58
The Help,Nominee,2011,80,76,89,62,79
Hugo,Nominee,2011,75,93,78,83,77
Midnight in Paris,Nominee,2011,77,93,83,81,80
Moneyball,Nominee,2011,76,94,86,87,80
The Tree of Life,Nominee,2011,68,85,60,85,70
War Horse,Nominee,2011,72,75,74,72,67
Argo,Winner,2012,77,96,90,86,77
Amour,Nominee,2012,79,93,82,94,81
Beasts of the Southern Wild,Nominee,2012,73,87,76,86,75
Django Unchained,Nominee,2012,84,87,91,81,86
Life of Pi,Nominee,2012,79,87,84,79,79
Lincoln,Nominee,2012,73,89,81,86,75
Les Misérables,Nominee,2012,76,69,79,63,75
Silver Linings Playbook,Nominee,2012,77,92,86,81,86
Zero Dark Thirty,Nominee,2012,74,91,80,95,69
12 Years a Slave,Winner,2013,81,95,90,96,81
American Hustle,Nominee,2013,72,92,74,90,73
Captain Phillips,Nominee,2013,78,93,89,83,81
Dallas Buyers Club,Nominee,2013,80,93,91,84,82
Gravity,Nominee,2013,77,96,80,96,78
Her,Nominee,2013,80,95,82,90,86
Nebraska,Nominee,2013,77,91,83,86,80
Philomena,Nominee,2013,76,90,89,77,79
The Wolf of Wall Street,Nominee,2013,82,80,83,75,68
Birdman or (The Unexpected Virtue of Ignorance),Winner,2014,77,91,78,87,82
American Sniper,Nominee,2014,73,72,84,72,66
Boyhood,Nominee,2014,79,97,81,100,77
The Grand Budapest Hotel,Nominee,2014,81,91,86,88,84
The Imitation Game,Nominee,2014,80,89,91,73,81
Selma,Nominee,2014,75,99,86,88,72
The Theory of Everything,Nominee,2014,77,80,84,72,78
Whiplash,Nominee,2014,85,94,94,88,89
Spotlight,Winner,2015,81,97,93,93,81
The Big Short,Nominee,2015,78,88,88,81,82
Bridge of Spies,Nominee,2015,76,90,87,81,76
Brooklyn,Nominee,2015,75,97,87,88,79
Mad Max: Fury Road,Nominee,2015,81,97,85,90,86
The Martian,Nominee,2015,80,91,91,80,80
The Revenant,Nominee,2015,80,78,84,76,80
Room,Nominee,2015,81,93,93,86,83
Moonlight,Winner,2016,74,98,79,99,72
Arrival,Nominee,2016,79,94,82,81,81
Fences,Nominee,2016,72,92,75,79,73
Hacksaw Ridge,Nominee,2016,81,84,91,71,83
Hell or High Water,Nominee,2016,76,97,88,88,81
Hidden Figures,Nominee,2016,78,93,93,74,74
La La Land,Nominee,2016,80,91,81,93,84
Lion,Nominee,2016,80,84,91,69,78
Manchester by the Sea,Nominee,2016,78,96,78,96,82
The Shape of Water,Winner,2017,73,92,72,87,70
Call Me by Your Name,Nominee,2017,79,94,86,93,79
Darkest Hour,Nominee,2017,74,84,82,75,73
Dunkirk,Nominee,2017,78,92,81,94,83
Get Out,Nominee,2017,77,98,86,84,74
Lady Bird,Nominee,2017,74,99,79,94,76
Phantom Thread,Nominee,2017,75,91,71,90,76
The Post,Nominee,2017,72,88,73,83,70
"Three Billboards Outside Ebbing, Missouri",Nominee,2017,81,90,87,88,77
Green Book,Winner,2018,82,77,91,69,79
