,Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating
259,Arrival,Nominee,2016,7.9,94.0,82.0
260,Fences,Nominee,2016,7.2,92.0,75.0
261,Hacksaw Ridge,Nominee,2016,8.1,84.0,91.0
262,Hell or High Water,Nominee,2016,7.6,97.0,88.0
263,Hidden Figures,Nominee,2016,7.8,93.0,93.0
264,La La Land,Nominee,2016,8.0,91.0,81.0
265,Lion,Nominee,2016,8.0,84.0,91.0
266,Manchester by the Sea,Nominee,2016,7.8,96.0,78.0
267,The Shape of Water,Winner,2017,7.3,92.0,72.0
268,Call Me by Your Name,Nominee,2017,7.9,94.0,86.0
269,Darkest Hour,Nominee,2017,7.4,84.0,82.0
270,Dunkirk,Nominee,2017,7.8,92.0,81.0
271,Get Out,Nominee,2017,7.7,98.0,86.0
272,Lady Bird,Nominee,2017,7.4,99.0,79.0
273,Phantom Thread,Nominee,2017,7.5,91.0,71.0
274,The Post,Nominee,2017,7.2,88.0,73.0
275,"Three Billboards Outside Ebbing, Missouri",Nominee,2017,8.1,90.0,87.0
276,Green Book,Winner,2018,8.2,77.0,91.0
277,Black Panther,Nominee,2018,7.3,96.0,79.0
278,BlacKkKlansman,Nominee,2018,7.5,96.0,83.0
279,Bohemian Rhapsody,Nominee,2018,7.9,60.0,85.0
280,The Favourite,Nominee,2018,7.5,93.0,69.0
281,Roma,Nominee,2018,7.7,96.0,72.0
282,A Star Is Born,Nominee,2018,7.6,90.0,79.0
283,Vice,Nominee,2018,7.2,65.0,60.0
284,Parasite,Winner,2019,8.6,98.0,90.0
285,1917,Nominee,2019,8.3,88.0,88.0
286,Ford v Ferrari,Nominee,2019,8.1,92.0,98.0
287,The Irishman,Nominee,2019,7.8,96.0,86.0
288,Jojo Rabbit,Nominee,2019,7.9,80.0,94.0
289,Joker,Nominee,2019,8.4,68.0,88.0
290,Little Women,Nominee,2019,7.8,95.0,92.0
291,Marriage Story,Nominee,2019,7.9,94.0,85.0
292,Once Upon a Time in Hollywood,Nominee,2019,7.6,85.0,70.0
293,Nomadland,Winner,2020,7.4,93.0,82.0
294,The Father,Nominee,2020,8.3,98.0,92.0
295,Judas and the Black Messiah,Nominee,2020,7.5,97.0,95.0
296,Mank,Nominee,2020,6.9,83.0,59.0
297,Minari,Nominee,2020,7.5,98.0,87.0
298,Promising Young Woman,Nominee,2020,7.5,90.0,87.0
299,Sound of Metal,Nominee,2020,7.8,97.0,90.0
300,The Trial of the Chicago 7,Nominee,2020,7.8,89.0,90.0
